"German_name_clean","Polish_name_clean","Exonym_country"
"MILITSCH","MILICZ","152"
"FRIEDEBERG AM QUEIS","MIRSK","152"
"NIMPTSCH","NIEMCZA","152"
"NAUMBURG AM QUEIS","NOWOGRODZIEC","152"
"OBERNIGK","OBORNIKI SLASKIE","152"
"OELS","OLESNICA","152"
"MITTEL-LANGENOLS","OLSZYNA","152"
"PETERSDORF","PIECHOWICE","152"
"PENZIG","PIENSK","152"
"GNADENFREI","PILAWA GORNA","152"
"BAD ALTHEIDE","POLANICA-ZDROJ","152"
"POLKWITZ","POLKOWICE","152"
"PARCHWITZ","PROCHOWICE","152"
"PRAUSNITZ","PRUSICE","152"
"WUNSCHELBURG","RADKOW","152"
"STEINAU AN DER ODER","SCINAWA","152"
"TSCHECHNITZ","SIECHNICE","152"
"ZOBTEN AM BERGE","SOBOTKA","152"
"NEUMARKT IN SCHLESIEN","SRODA SLASKA","152"
"SEITENBERG","STRONIE SLASKIE","152"
"BAD FLINSBERG","SWIERADOW-ZDROJ","152"
"SCHONAU AN DER KATZBACH","SWIERZAWA","152"
"GROSS WARTENBERG","SYCOW","152"
"BAD SALZBRUNN","SZCZAWNO-ZDROJ","152"
"RUCKERS","SZCZYTNA","152"
"SCHREIBERHAU","SZKLARSKA POREBA","152"
"TREBNITZ","TRZEBNICA","152"
"FESTENBERG","TWARDOGORA","152"
"HERRNSTADT","WASOSZ","152"
"KOHLFURT","WEGLINIEC","152"
"LAHN","WLEN","152"
"KAUFFUNG","WOJCIESZOW","152"
"WOHLAU","WOLOW","152"
"FRANKENSTEIN","ZABKOWICE SLASKIE","152"
"SAARAU","ZAROW","152"
"SEIDENBERG","ZAWIDOW","152"
"GORLITZ","ZGORZELEC","152"
"MUNSTERBERG IN SCHLESIEN","ZIEBICE","152"
"GOLDBERG IN SCHLESIEN","ZLOTORYJA","152"
"REICHENSTEIN","ZLOTY STOK","152"
"GOLLNOW","GOLENIOW","152"
"KREUZBURG","KLUCZBORK","152"
"NEUSTADT O.S.","PRUDNIK","152"
"NAMSLAU","NAMYSLOW","152"
"SOSNOWITZ","SOSNOWIEC","152"
"HINDENBURG O.S.","ZABRZE","152"
"BIELITZ-BIALA","BIELSKO-BIALA","152"
"BEUTHEN O.S.","BYTOM","152"
"RYBNIK","RYBNIK","152"
"RUDA O.S.","RUDA SLASKA","152"
"DOMBROWA","DABROWA GORNICZA","152"
"JAWORZNO","JAWORZNO","152"
"BAD KONIGSDORFF-JASTRZEMB","JASTRZEBIE-ZDROJ","152"
"LAURAHUTTE (SIEMIANOWITZ)","SIEMIANOWICE SLASKIE","152"
"BENDZIN","BEDZIN","152"
"ZAWIERCIE","ZAWIERCIE","152"
"LOSLAU","WODZISLAW SLASKI","152"
"NIKOLAI","MIKOLOW","152"
"KNUROW","KNUROW","152"
"CZECHOWITZ-DZIEDITZ","CZECHOWICE-DZIEDZICE","152"
"MISCHKAU","MYSZKOW","152"
"-","CZELADZ","152"
"SAYBUSCH","ZYWIEC","152"
"CZERWIONKA-LESCHCZIN","CZERWIONKA-LESZCZYNY","152"
"LUBLINITZ","LUBLINIEC","152"
"RYDULTAU","RYDULTOWY","152"
