"German_name_clean","Polish_name_clean","Exonym_country"
"GROTTKAU","GRODKOW","152"
"GRADITZ","GRODZISZCZE","152"
"GROTZSCH","GRODZISZCZE","152"
"GRAUDENZ","GRUDZIADZ","152"
"GREIFENBERG IN POMMERN","GRYFICE","152"
"GREIFENHAGEN","GRYFINO","152"
"SEEFELD","GRZEDZICE","152"
"GRZYBOWEN","GRZYBOWO","152"
"BIRKENSEE","GRZYBOWO","152"
"GRIBOW","GRZYBOWO","152"
"GUBEN","GUBIN","152"
"GOTTKENDORF","GUTKOWO","152"
"HELA","HEL","152"
"DEUTSCH EYLAU","ILAWA","152"
"HALBAU","ILOWA","152"
"NORENBERG","INSKO","152"
"JABLONOWO","JABLONOWO POMORSKIE","152"
"GOSSLERSHAUSEN","JABLONOWO POMORSKIE","152"
"JAULITZ","JALOWICE","152"
"JAHNSDORF","JANISZOWICE","152"
"HERMSDORF","JARKOWICE","152"
"JOMENDORF","JAROTY","152"
"GASSEN","JASIEN","152"
"JASTROW","JASTROWIE","152"
"JAUER","JAWOR","152"
"HIRSCHBERG IM RIESENGEBERGE","JELENIA GORA","152"
"JEHSER","JEZIORY","152"
"NIEDER JESER","JEZIORY DOLNE","152"
"SEEBURG","JEZIORANY","152"
"JORDAN","JORDANOWO","152"
"KALAU","KALAWA","152"
"KALLIES","KALISZ POMORSKI","152"
"KALZIG","KALSKO","152"
"CAMMIN","KAMIEN POMORSKI","152"
"LANDESHUT","KAMIENNA GORA","152"
"UNRUHSTADT","KARGOWA","152"
"KORLIN AN DER PERSANTE","KARLINO","152"
"KATTOWITZ","KATOWICE","152"
"BODENWINKEL","KATY RYBACKIE","152"
"KANTH","KATY WROCLAWSKIE","152"
"CANTH","KATY WROCLAWSKIE","152"
"KANDRZIN-COSEL","KEDZIERZYN-KOZLE","152"
"SCHONBORN","KEPSKO","152"
"KAINSCHT","KESZYCA","152"
"RASTENBURG","KETRZYN","152"
"KLEMPIN","KLEPINO","152"
"KLEMZIG","KLEPSK","152"
"GLATZ","KLODZKO","152"
"KLONNAU","KLONOWO","152"
"KLONOWO","KLONOWO","152"
"KLONTAL","KLONOWO","152"
"KLOPPITZ","KLOPOT","152"
"KREUZBERG","KLUCZBORK","152"
"KOHLO","KOLO","152"
"KOLBERG","KOLOBRZEG","152"
"COLONNOWSKA","KOLONOWSKIE","152"
"GRAFENWEILER","KOLONOWSKIE","152"
"KUNAU","KONIN ZAGANSKI","152"
"FRIEDLAND IN OBERSCHLESIEN","KORFANTOW","152"
"POLNISCH KRONE","KORONOWO","152"
"CRONE AN DER BRAHE","KORONOWO","152"
"KRONE AN DER BRAHE","KORONOWO","152"
"KUSCHERN","KOSARZYN","152"
"KOSTEN","KOSCIAN","152"
"KUSTRIN","KOSTRZYN NAD ODRA","152"
"KOSLIN","KOSZALIN","152"
"KOTTWITZ","KOTOWICE","152"
"SCHONSEE","KOWALEWO POMORSKIE","152"
"FREYSTADT IN SCHLESIEN","KOZUCHOW","152"
"SEIFFERSDORF","KOZY","152"
"SEIBERSDORF","KOZY","152"
"KOSY","KOZY","152"
"KRANGEN","KRAG","152"
"KROJANKE","KRAJENKA","152"
"NIEDER-KRANIG","KRAJNIK DOLNY","152"
"HOHEN-KRANIG","KRAJNIK GORNY","152"
"KRAKAU","KRAKOW","152"
"KRAPPITZ","KRAPKOWICE","152"
"ALTKRANZ","KRAZKOWO","152"
"(GROSS) KROSSIN","KROSINO","152"
"KRESSENDORF","KRZESZOWICE","152"
"CROSSEN AN DER ODER","KROSNO ODRZANSKIE","152"
"KULKAU","KULIGOWO","152"
"KUMMELTITZ","KUMIALTOWICE","152"
"KUNERSDORF","KUNOWICE","152"
"KOPPEN","KUPIENINO","152"
"KRUSSOW","KURCEWO","152"
"KURZIG","KURSKO","152"
"KUPFERMUHLE","KUZNIK","152"
"MARIENWERDER","KWIDZYN","152"
"LESSENDORF","LASOCIN","152"
"LANDECK IN WESTPREUSSEN","LEDYCZEK","152"
"LIEGNITZ","LEGNICA","152"
"WAHLSTATT","LEGNICKIE POLE","152"
"ALT LIMMRITZ","LEMIERZYCE","152"
"LESCHNITZ","LESNICA","152"
"BERGSTADT","LESNICA","152"
"LISSA","LESZNO","152"
"NIEDER LESCHEN","LESZNO DOLNE","152"
"KLEIN LICHTENAU","LICHNOWKI","152"
"GROSS LICHTENAU","LICHNOWY","152"
"HEILSBERG","LIDZBARK WARMINSKI","152"
"LIKUSEN","LIKUSY","152"
"LINDE","LINIA","152"
"LIPPEHNE","LIPIANY","152"
"MANSFELDE","LIPIE GORY","152"
"LINDENBERG","LIPNIK","152"
"LIESSAU","LISEWO MALBORSKIE","152"
"LIEBAU","LUBAWKA","152"
"LOBFELDE","LUBIEWO","152"
"LIEBSCHAU","LUBISZEWO TCZEWSKIE","152"
"LUBEN","LUBIN","152"
"MERZDORF","LUBINICKO","152"
"WILHELMSHOHE","LUBOGORA","152"
"LUBAN","LUBON","152"
"SOMMERFELD","LUBSKO","152"
"LUTUTOW","LUTUTOW","152"
"LANDSTETT","LUTUTOW","152"
"LANDSTATT","LUTUTOW","152"
"LEGEL","LAGODA","152"
"LASK","LASK","152"
"OBER LAZISK","LAZISKA GORNE","152"
"LUBUSER LOOSE","LAZY LUBUSKIE","152"
"LEBA","LEBA","152"
"LENGAINEN","LEGAJNY","152"
"LUGKNITZ","LEKNICA","152"
"LANSITZ","LEZYCA","152"
"LABES","LOBEZ","152"
"LOBSENS","LOBZENICA","152"
"LUMZOW","LOMCZEWO","152"
"LODSCH","LODZ","152"
"LITZMANNSTADT","LODZ","152"
"LUGAU","LUGOW","152"
"ABSTICH","LUPSTYCH","152"
"LAHNA","LYNA","152"
"LISSOMITZ","LYSOMICE","152"
"POSEMSDORF","LYSOMICE","152"
"MATSCHDORF","MACZKOW","152"
"MARIENBURG","MALBORK","152"
"MULKENTHIN","MALKOCIN","152"
"MALLMITZ","MALOMICE","152"
"MARIENHAIN","MARIANKA","152"
"MASSOW","MASZEWO","152"
"FRIEDHEIM","MIASTECZKO KRAJENSKIE","152"
"RUMMELSBURG","MIASTKO","152"
"BIRNBAUM","MIEDZYCHOD","152"
"MISDROJ","MIEDZYZDROJE","152"
"MESERITZ","MIEDZYRZECZ","152"
"BEINSDORF","MIESZKOW","152"
"BARWALDE IN DER NEUMARK","MIESZKOWICE","152"
"NIKOLAIKEN","MIKOLAJKI POMORSKIE","152"
"NIKLASKIRCHEN","MIKOLAJKI POMORSKIE","152"
"NICOLAI","MIKOLOW","152"
"MELOCHWITZ","MILOCHOWICE","152"
"MUHLHAGEN","MILOCHOWICE","152"
"LIEBSTADT","MILAKOWO","152"
"MUHLBANZ","MILOBADZ","152"
"LIEBEMUHL","MILOMLYN","152"
"NIEDER HERZOGSWALDAU","MIROCIN DOLNY","152"
"OBER HERZOGSWALDAU","MIROCIN GORNY","152"
"MITTEL HERZOGSWALDAU","MIROCIN SREDNI","152"
"MARKISCH FRIEDLAND","MIROSLAWIEC","152"
"MICHELSDORF","MISZKOWICE","152"
"MORHRUNGEN","MORAG","152"
"MOHRIN","MORYN","152"
"SENSBURG","MRAGOWO","152"
"MROTSCHEN","MROCZA","152"
"SCHONHAUSEN","MROCZA","152"
"IMMENHEIM","MROCZA","152"
"(TREPTOWER) DEEP","MRZEZYNO","152"
"SOLDIN","MYSLIBORZ","152"
"MYSLOWITZ","MYSLOWICE","152"
"NABLAT","NABLOTO","152"
"NAHBERG","NABLOTO","152"
"NEIDENBURG","NIDZICA","152"
"HORST","NIECHORZE","152"
"POLNISCH NETTKOW","NIETKOW","152"
"NIPTER","NIETOPEREK","152"
"ZIBELLE","NIWICA","152"
"NEURODE","NOWA RUDA","152"
"NEUSALZ AN DER ODER","NOWA SOL","152"
"NEUENBERG IN WESTPREUSSEN","NOWE","152"
"NEUENBERG (WEICHSEL)","NOWE","152"
"NEU BISCHOFSEE","NOWE BISKUPICE","152"
"NEU","NOWE MIASTECZKO","152"
"NEUWARP","NOWE WARPNO","152"
"NAUGARD","NOWOGARD","152"
"NAUMBURG AM BOBER","NOWOGROD BOBRZANSKI","152"
"TIEGENHOF","NOWY DWOR GDANSKI","152"
"DEUTSCH KESSEL","NOWY KISIELIN","152"
"NEU LEBUS","NOWY LUBUSZ","152"
"NEUTEICH","NOWY STAW","152"
"NEUTOMISCHEL","NOWY TOMYSL","152"
"NEISSE","NYSA","152"
"OBLATH","OBLOTNE","152"
"OCHELHERMSDORF","OCHLA","152"
"ADELNAU","ODOLANOW","152"
"RATZEBUHR","OKONEK","152"
"OHLAU","OLAWA","152"
"MARGGRABOWA","OLECKO","152"
"TREUBERG","OLECKO","152"
"OLS","OLESNICA","152"
"ROSENBERG","OLESNO","152"
"ALLENSTEIN","OLSZTYN","152"
"ERLENHOLZ","OLSZYNA","152"
"OPPELN","OPOLE","152"
"WORMDITT","ORNETA","152"
"ORZESCHE","ORZESZE","152"
"DROSSEN","OSNO LUBUSKIE","152"
"FRIEDRICHSTABOR","OSOGORA","152"
"ROHRSDORF","OSOWA SIEN","152"
"HOHENSTEIN","OSTRODA","152"
"OSTROW","OSTROW WIELKOPOLSKI","152"
"AUSCHWITZ","OSWIECIM","152"
"MALAPANE","OZIMEK","152"
"PREUSSISCH HOLLAND","PASLEK","152"
"BERNSTEIN","PELCZYCE","152"
"PELPLIN","PELPLIN","152"
"PANSIN","PEZINO","152"
"DEUTSCH PIEKAR","PIEKARY SLASKIE","152"
"MEHLSACK","PIENIEZNO","152"
"PETERSWALDAU","PIESZYCE","152"
"SCHNEIDEMUHL","PILA","152"
"PETRIKAU","PIOTRKOW TRYBUNALSKI","152"
"JOHANNISBERG","PISZ","152"
"PLOTHOW","PLOTY","152"
"PLATHE AN DER REGA","PLOTY","152"
"PINNOW","PNIOW","152"
"PUTZERLIN","POCZERNIN","152"
"KLEIN POSEMUCKEL","PODMOKLE MALE","152"
"GROSS POSEMUCKEL","PODMOKLE WIELKIE","152"
"POLLNOW","POLANOW","152"
"BAD POLZIN","POLCZYN-ZDROJ","152"
"POLITZ","POLICE","152"
"HEERWEGEN","POLKOWICE","152"
"POLKOWITZ","POLKOWICE","152"
"POSEN","POZNAN","152"
"POSORTEN","POZORTY","152"
"RIESENBERG","PRABUTY","152"
"PROSKAU","PROSZKOW","152"
"DRAHTHAMMER","PROSZOW","152"
"NEUSTADT","PRUDNIK","152"
"PRUST","PRUSZCZ","152"
"PRAUST","PRUSZCZ GDANSKI","152"
"PRIMKENAU","PRZEMKOW","152"
"PRIBBERNOW","PRZYBIERNOW","152"
"GROSS PSCHYGODSCHITZ","PRZYGODZICE","152"
"HIRSCHTEICH","PRZYGODZICE","152"
"PLESS","PSZCZYNA","152"
"PYREHNE","PYRZANY","152"
"PYRITZ","PYRZYCE","152"
"RUBNICK","RYBNIK","152"
"GROSS RAMBIN","RABINO","152"
"RATIBOR","RACIBORZ","152"
"LARENWALDE","RACULA","152"
"LAWALDAU","RACULA","152"
"RADICHAU","RADZIEJOW","152"
"REHDEN","RADZYN CHELMINSKI","152"
"RAMPITZ","RAPICE","152"
"REETZ","RECZ","152"
"REDIGKAINEN","REDYKAJNY","152"
"REGENWALDE","RESKO","152"
"ROSSEL","RESZEL","152"
"GROSS ROSEN","ROGOZNICA","152"
"RISSEN","ROSIN","152"
"FRIEDRICHSWERDER","ROZLOGI","152"
"RUDA","RUDA SLASKA","152"
"RIEGERSDORF","RUDGERZOWICE","152"
"RINNERSDORF","RUSINOW","152"
"REICHEN","RYCHLIK","152"
"KRUGERSHOF","RYDZYNKA","152"
"RHEIN","RYN","152"
"RIETSCHUTZ","RZECZYCA","152"
"REPPEN","RZEPIN","152"
"ZORNDORF","SARBINOWO","152"
"ZEMPELBURG","SEPOLNO KRAJENSKIE","152"
"SCHIPPENBEIL","SEPOPOL","152"
"LAURAHUTTE","SIEMIANOWICE SLASKIE","152"
"NEUDORF","SIEMIRADZ","152"
"ZANOW","SIANOW","152"
"ZACKERICK","SIEKIERKI","152"
"SCHELLIN","SKALIN","152"
"SKURZ","SKORCZ","152"
"GROSSWOLLENTAL","SKORCZ","152"
"KRINITZA","SKRZYNICA","152"
"SCHWERIN AN DER WARTHE","SKWIERZYNA","152"
"SCHLAWA","SLAWA","152"
"SCHLESIERSEE","SLAWA","152"
"SCHLAWE","SLAWNO","152"
"SONNENBURG","SLONSK","152"
"DAMMVORSTADT","SLUBICE","152"
"STOLP","SLUPSK","152"
"SCHMAGOREI","SMOGORY","152"
"ZOBTEN","SOBOTKA","152"
"ZOCKLAU","SOKOLOW","152"
"SCHULITZ","SOLEC KUJAWSKI","152"
"ZOLLING","SOLNIKI","152"
"HINZENDORF","SOWNO","152"
"ALT RUDNITZ","STARA RUDNICA","152"
"ALT BISCHOFSEE","STARE BISKUPICE","152"
"HOCHZEIT","STARE OSIECZNO","152"
"STARGARD IN POMMERN","STARGARD","152"
"PREUSSISCH STARGARD","STAROGARD GDANSKI","152"
"FRIEDRICHSWILLE","STAROSCIN","152"
"STARZEDDEL","STAROSIEDLE","152"
"ALT-BLESSIN","STARY BLESZYN","152"
"ALTKUSTRINCHEN","STARY KOSTRZYNEK","152"
"STEEGEN","STEGNA","152"
"STEEGEN-KOBBELGRUBE","STEGNA","152"
"STRIEGAU","STRZEGOM","152"
"FRIEDEBERG","STRZELCE KRAJENSKIE","152"
"GROSS STREHLITZ","STRZELCE OPOLSKIE","152"
"STREHLEN","STRZELIN","152"
"(TZ)SCHAKSDORF","STRZESZOWICE","152"
"STREESEN","STRZYZNO","152"
"ZACHAN","SUCHAN","152"
"ZAUCHEL","SUCHODOL","152"
"SEEDORF","SUDOL","152"
"ZULLICHAU","SULECHOW","152"
"ZIELENZIG","SULECIN","152"
"ROSENBERG IN WESTPREUSSEN","SUSZ","152"
"SCHWEINITZ","SWIDNICA","152"
"SCHWEIDNITZ","SWIDNICA","152"
"SCHIVELBEIN","SWIDWIN","152"
"SCHWIEBEDAWE","SWIEBODOW","152"
"FRANKENBERG","SWIEBODOW","152"
"FREIBURG IN SCHLESIEN","SWIEBODZICE","152"
"SCHWIEBUS","SWIEBODZIN","152"
"SCHWETZ","SWIECIE","152"
"SCHWENDT","SWIETE","152"
"SCHWIENTOCHLOWITZ","SWIETOCHLOWICE","152"
"GEORGSDORF","SWIETY WOJCIECH","152"
"SWINEMUNDE","SWINOUJSCIE","152"
"SAATZIG","SZADZKO","152"
"NIEDERSCHWEDELDORF","SZALEJOW DOLNY","152"
"STETTIN","SZCZECIN","152"
"NEUSTETTIN","SZCZECINEK","152"
"ORTELSBERG","SZCZYTNO","152"
"SCHOTTAU","SZKOTOWO","152"
"SCHLICHTINGSHEIM","SZLICHTYNGOWA","152"
"SPROTTAU","SZPROTAWA","152"
"STUHM","SZTUM","152"
"STUTTHOF","SZTUTOWO","152"
"SCHINDELMUEHL","SZUMIACA","152"
"SCHIDELO","SZYDLOW","152"
"TARNOWITZ","TARNOWSKIE GORY","152"
"DIRSCHAU","TCZEW","152"
"THOMSDORF","TOMASZKOWO","152"
"THORN","TORUN","152"
"STERNBERG IN DER NEUMARK","TORZYM","152"
"GROSS TRAMPKEN","TRABKI WIELKIE","152"
"TIRSCHTIEGEL","TRZCIEL","152"
"BAD SCHONFLIESS","TRZCINSKO-ZDROJ","152"
"TREPTOW (AN DER REGA)","TRZEBIATOW","152"
"TRIEBEL","TRZEBIEL","152"
"TUCHEL","TUCHOLA","152"
"TUTZ","TUCZNO","152"
"TOLLACK","TULAWKI","152"
"DAUMEN","TUMIANY","152"
"GROSS TYCHOW","TYCHOWO","152"
"TICHAU","TYCHY","152"
"TIETZOW","TYCZEWO","152"
"TILLENDORF","TYLEWICE","152"
"UJEST","UJAZD","152"
"BISCHOFSTAL","UJAZD","152"
"USCH","UJSCIE","152"
"WULKOW","ULIKOWO","152"
"SCHONEFELD","UNIESZEWO","152"
"UNISLAW","UNISLAW","152"
"KULMISCHWENZLAU","UNISLAW","152"
"AURITH","URAD","152"
"(OSTSEEBAD) HENKENHAGEN","USTRONIE MORSKIE","152"
"WADANG","WADAG","152"
"WALDENBURG","WALBRZYCH","152"
"DEUTSCH KRONE","WALCZ","152"
"WARKALLEN","WARKALY","152"
"WARSCHAU","WARSAW","152"
"WANDERN","WEDRZYN","152"
"WENGAITHEN","WEGAJTY","152"
"ANGERBURG","WEGORZEWO","152"
"WANGERIN","WEGORZYNO","152"
"WANSEN","WIAZOW","152"
"FIDDICHOW","WIDUCHOWA","152"
"VANDSBURG","WIECBORK","152"
"WAITZE","WIEJCE","152"
"WELUN","WIELUN","152"
"KOCHSDORF","WIERZBIECIN","152"
"DREIDORF","WIERZBNICA","152"
"WURBITZ","WIERZBNICA","152"
"WIRCHENBLATT","WIERZCHNO","152"
"LESLAU","WLOCLAWEK","152"
"WALDOWITZ","WLODOWICE","152"
"WIEPS","WIPSOWO","152"
"NEUENDORF","WISELKA","152"
"VIETZ","WITNICA","152"
"WITTIG","WITOSLAW","152"
"WITTICHOW BEI STARGARD","WITKOWO II","152"
"WITTEN","WITYN","152"
"ROSSNITZ","WLOSTOWICE","152"
"RECKENWALDE","WOJNOWO","152"
"FITTIGSDORF","WOJTOWO","152"
"WOLLIN","WOLIN","152"
"WOLLSTEIN","WOLSZTYN","152"
"WORITTEN","WORYTY","152"
"BRESLAU","WROCLAW","152"
"WRESCHEN","WRZESNIA","152"
"FREUSTADT","WSCHOWA","152"
"WIRSITZ","WYRZYSK","152"
"WISSEK","WYSOKA","152"
"HOCHWALDE","WYSOKA","152"
"WISCHEN","WYSZANOWO","152"
"FRANKENSTEIN IN SCHLEISEN","ZABKOWICE SLASKIE","152"
"HINDENBURG","ZABRZE","152"
"SAGAN","ZAGAN","152"
"SALBKEIM","ZALBKI","152"
"SAALFELD","ZALEWO","152"
"GROSS SARCHEN","ZARKI WIELKIE","152"
"SAAROW","ZAROWO","152"
"SORAU","ZARY","152"
"FORST-BERGE","ZASIEKI","152"
"GUNTHERSDORF","ZATONIE","152"
"ZAWADZKI","ZAWADZKIE","152"
"ANDREASHUTTE","ZAWADZKIE","152"
"NEU BENTSCHEN","ZBASZYNEK","152"
"FREIHAUS","ZDUNSKA WOLA","152"
"TREUSTADT","ZDUNY","152"
"DESCHOWITZ","ZDZIESZOWICE","152"
"ODERTAL IN OBERSCHLESIEN","ZDZIESZOWICE","152"
"GRUNBERG IN SCHLESIEN","ZIELONA GORA","152"
"FALKENBURG","ZLOCIENIEC","152"
"REINSWALDE","ZLOTNIK","152"
"GOLDBERG","ZLOTORYJA","152"
"FLATOW","ZLOTOW","152"
"TRACHENBERG","ZMIGROD","152"
"SOLBEN","ZOLWIN","152"
"SOHRAU","ZORY","152"
"HERZOGSWALDE","ZUBROW","152"
"ELISENFELDE","ZYDOWO","152"
"HEIDESCHAFER","ZYTNI MLYN","152"
"FRAUENBURG","FROMBORK","152"
"LANDSBERG","GOROWO ILAWECKIE","152"
"KORSCHEN","KORSZE","152"
"LAUTENBURG","LIDZBARK","152"
"LOBAU","LUBAWA","152"
"MUHLHAUSEN","MLYNARY","152"
"MOHRUNGEN","MORAG","152"
"NEUMARK","NOWE MIASTO LUBAWSKIE","152"
"TREUBURG","OLECKO","152"
"ARYS","ORZYSZ","152"
"OSTERODE","OSTRODA","152"
"PASSENHEIM","PASYM","152"
"JOHANNISBURG","PISZ","152"
"RUDCZANNY","RUCIANE-NIDA","152"
"ORTELSBURG","SZCZYTNO","152"
"TOLKEMIT","TOLKMICKO","152"
"WILLENBERG","WIELBARK","152"
"KONIGSWALDE","LUBNIEWICE","152"
"NEUSTADTEL","NOWE MIASTECZKO","152"
"DEUTSCH WARTENBERG","OTYN","152"
"FRANKFURT-DAMMVORSTADT","SLUBICE","152"
"STERNBERG","TORZYM","152"
"VIETZ AN DER OSTBAHN","WITNICA","152"
"FRAUSTADT","WSCHOWA","152"
"WARTHA","BARDO","152"
"REICHENAU IN SACHSEN","BOGATYNIA","152"
"BOLKENHAIN","BOLKOW","152"
"DYHERNFURTH","BRZEG DOLNY","152"
"HABELSCHWERDT","BYSTRZYCA KLODZKA","152"
"KOTZENAU","CHOCIANOW","152"
"HAYNAU","CHOJNOW","152"
"BAD REINERZ","DUSZNIKI-ZDROJ","152"
"REICHENBACH IM EULENGEBIRGE","DZIERZONIOW","152"
"GLOGAU","GLOGOW","152"
"WUSTEGIERSDORF","GLUSZYCA","152"
"GUHRAU","GORA","152"
"GREIFFENBERG IN SCHLESIEN","GRYFOW SLASKI","152"
"KONIGSZELT","JAWORZYNA SLASKA","152"
"BAD CHARLOTTENBRUNN","JEDLINA-ZDROJ","152"
"JELTSCH-LASKOWITZ","JELCZ-LASKOWICE","152"
"HIRSCHBERG IM RIESENGEBIRGE","JELENIA GORA","152"
"LANDESHUT IN SCHLESIEN","KAMIENNA GORA","152"
"KRUMMHUBEL","KARPACZ","152"
"SCHMIEDEBERG IM RIESENGEBIRGE","KOWARY","152"
"BAD KUDOWA","KUDOWA-ZDROJ","152"
"BAD LANDECK","LADEK-ZDROJ","152"
"MARKLISSA","LESNA","152"
"LAUBAN","LUBAN","152"
"LIEBAU IN SCHLESIEN","LUBAWKA","152"
"LIEBENTHAL","LUBOMIERZ","152"
"LOWENBERG IN SCHLESIEN","LWOWEK SLASKI","152"
"NEUMITTELWALDE","MIEDZYBORZ","152"
"MITTELWALDE","MIEDZYLESIE","152"
"NIMKAU","MIEKINIA","152"
"FRIEDLAND","MIEROSZOW","152"
