pid,city_1,city_2,city_3,city_4,imp_birth_country,imp_type,city_1_country,city_2_country,city_3_country,city_4_country,exonym_country.x,exonym_country.y,exonym_country_0,exonym_country_1,history_birth_country
32570,ALMINA,EXTERTAL,NA,NA,000/451,fuzzy/german_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
32580,LOWENBERG,SCHLESIEN,NA,NA,000/152,ostgebiete/unique_city,NA,NA,NA,NA,NA,NA,NA,152,152
33137,KUNZENDORF,LOWENBERG,NA,NA,000/152,unique_city,152,NA,NA,NA,152,152,NA,NA,152
33151,ROSENFELD,SCHLOCHAU,NA,NA,000/152,fuzzy/ostgebiete,NA,NA,NA,NA,NA,NA,NA,152,152
33426,BEUTHEN,OS,PILZENDORF,NA,149/152,unique_citizen/unique_city,NA,NA,NA,NA,NA,NA,NA,152,152
33460,NEUMARKT,STUHM,NA,NA,000/152,german_base/unique_city,NA,152,NA,NA,152,152,NA,NA,152
33528,JAKOBSDORF,STREHLEN,NA,NA,000/152,german_city/ostgebiete,NA,152,NA,NA,152,152,NA,NA,152
33718,HEILIGENBEIL,SCHOLEN,NA,NA,000/160,german_city/ostgebiete,NA,NA,NA,NA,NA,NA,NA,NA,NA
33720,GROSS-PETERWITZ,RATIBOR,NA,NA,000/152,german_base/unique_city,NA,152,NA,NA,152,152,NA,NA,152
33748,LANGENDORF,SENSBURG,NA,NA,000/152,german_city/unique_city,NA,152,NA,NA,152,152,NA,NA,152
33854,ARNSBERG,SCHLAWE,NA,NA,000/152,german_city/unique_city,NA,152,NA,NA,152,152,NA,NA,152
34214,LYCK,STEINBERG,NA,NA,000/152,german_city/unique_city,152,NA,NA,NA,152,152,NA,NA,152
34528,LINZ,RHEIN,NA,NA,000/151,german_base,NA,152,NA,NA,152,152,NA,NA,152
34783,NOVI,TOROKBECSE,NA,NA,144/368,unique_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
34784,WALDENBURG,WEISSSTEIN,NA,NA,000/152,german_city/unique_city,152,NA,NA,NA,152,152,NA,NA,152
34875,ORTELSBURG,WALDBURG,NA,NA,000/152,german_city/unique_city,NA,NA,NA,NA,NA,NA,152,152,152
35128,DRINSKO,VISEGRAD,NA,NA,120/122,city_o50/unique_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
35184,LOTZEN,RHEIN,NA,NA,000/152,german_base/unique_city,152,152,NA,NA,152,152,NA,NA,152
35982,OS,RUDA SLASKA,NA,NA,149/152,unique_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
36034,GRONAU,HEILSBERG,NA,NA,000/152,german_city/unique_city,NA,152,NA,NA,152,152,NA,NA,152
36155,HAAREN,WUNNENBERG,NA,NA,000/148,german_base/world_list,NA,NA,NA,NA,NA,NA,NA,NA,NA
36339,GUMBINNEN,OSTPR.,NA,NA,152/160,ostgebiete,NA,NA,NA,NA,NA,NA,NA,NA,NA
36449,BRESLAU,MERZDORF,NA,NA,000/152,german_city/unique_city,152,152,NA,NA,152,152,NA,NA,152
36541,FREIBURG,SCHLESIEN,NA,NA,000/152,german_city/ostgebiete,NA,NA,NA,NA,NA,NA,NA,152,152
36705,ALT-UKTA,SENSBURG,NA,NA,000/152,german_base/unique_city,NA,152,NA,NA,152,152,NA,NA,152
36722,HOHNDORF,LEOBSCHUTZ,NA,NA,000/152,german_city/unique_city,NA,152,NA,NA,152,152,NA,NA,152
36933,KITZBUHL,ST. JOHANN,NA,NA,000/151,german_city/unique_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
36969,ALT-WIECK,SCHLAWE,NA,NA,000/152,german_base/unique_city,NA,152,NA,NA,152,152,NA,NA,152
37035,LYCK,NEUENDORF,NA,NA,000/152,german_city/unique_city,152,152,NA,NA,152,152,NA,NA,152
37218,BIESELLEN,OSTERODE,NA,NA,000/152,unique_city,NA,NA,NA,NA,NA,NA,152,152,152
37431,BROMBERG,GRUNBERG,NA,NA,000/152,german_city/unique_city,152,NA,NA,NA,152,152,NA,NA,152
37503,ALT-LUBLAU,HOBGART,NA,NA,000/155,german_base/unique_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
37578,NEUSTADT,OBERSCHLESIEN,NA,NA,000/152,german_city/unique_city,152,NA,NA,NA,152,152,NA,NA,152
37762,EIBERGEN,LONINGEN,NA,NA,000/148,fuzzy/german_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
37904,KLEIN ARNSDORF,MOHRUNGEN,NA,NA,000/152,german_base/unique_city,NA,NA,NA,NA,NA,NA,152,152,152
38039,CORDOBA,PENARROYA-PUEBLONUEVO,NA,NA,161/323,city_o50/world_list,NA,NA,NA,NA,NA,NA,NA,NA,NA
38063,NIEDER-ULLERSDORF,SORAU,NA,NA,000/152,german_base/unique_city,NA,152,NA,NA,152,152,NA,NA,152
38221,GORKAU,STREHLEN,NA,NA,152/162,ostgebiete/unique_city,NA,152,NA,NA,152,152,NA,NA,152
38325,FREYSTADT,SCHLESIEN,NA,NA,000/152,german_city/ostgebiete,NA,NA,NA,NA,NA,NA,NA,152,152
38400,SEDAN,SULEYKEN,NA,NA,129/152,unique_city,NA,NA,NA,NA,NA,NA,NA,152,152
38719,ALLENSTEIN,SEEBURG,NA,NA,000/152,german_city/unique_city,152,152,NA,NA,152,152,NA,NA,152
38806,GRUNWALD,ORTELSBURG,NA,NA,000/152,fuzzy/unique_city,NA,NA,NA,NA,NA,NA,152,152,152
39001,GROSS-NEUKIRCH,POLSKA CEREKIEW,NA,NA,000/152,german_base/unique_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
