birth_city,edit1_deu,edit1_int,edit1_eng,canon
MOENCHENGLADBACH,MONCHENGLADBACH,NA,MONCHENGLADBACH,
HOENSBROECK,NA,HOENSBROCK,NA,
GLINDOW,LINDOW,NA,NA,
PERNITZ,PEGNITZ,NA,NA,
WANDHOFEN,WAIDHOFEN,WAIDHOFEN,NA,
BENNSTEDT,HENNSTEDT,NA,NA,
HERSFELD,ERSFELD,NA,NA,
RUGENWALDE,NA,REGENWALDE,NA,REGENWALDE
HERTE,HERTEN,NA,NA,
FABRITSCHNY,NA,FABRITSCHNYJ,NA,
BRUNNE,BRUNNEN,BRUNN,NA,
ALBENDORF,ALLENDORF,NA,NA,
KARASU,NA,KARASUK,KARASUK,KARASUK
NOWINA,NA,SOWINA,NA,
RAMSIN,RAMBIN,NA,NA,
SEIEN,SEIFEN,NA,NA,
HERMESDORF,HERMSDORF,NA,NA,
FREUDENTHAL,FREUDENTAL,NA,NA,FREUDENTAL
SAARLOIS,SAARLOUIS,NA,SAARLOUIS,SAARLOUIS
BERGISCH-GLADBACH,BERGISCH GLADBACH,NA,BERGISCH GLADBACH,BERGISCH GLADBACH
BAD SALZDETFURT,BAD SALZDETFURTH,NA,NA,BAD SALZDETFURTH
WOLMIERSTEDT,WOLMIRSTEDT,NA,NA,WOLMIRSTEDT
RADOMIN,NA,RADOMIR,NA,
PREISDORF,PRISDORF,NA,NA,
HADDENHAUSEN,HIDDENHAUSEN,NA,HIDDENHAUSEN,HIDDENHAUSEN
BEOGRAD,NA,BELGRAD,NA,
GIMSBACH,IMSBACH,WIMSBACH,NA,IMSBACH
UBACH,BUBACH,NA,NA,
FIRSCHAU,HIRSCHAU,DIRSCHAU,NA,
OPPENDORF,EPPENDORF,NA,NA,
LESCHWITZ,NESCHWITZ,LESCHNITZ,NA,
SIEMERSDORF,WIEMERSDORF,NA,NA,
LOSTAU,POSTAU,LOSLAU,NA,
SELMANN,NA,SEELMANN,NA,
RODEBACH,RODENBACH,NA,NA,RODENBACH
KALDENKIRCHEN,KALTENKIRCHEN,NA,KALTENKIRCHEN,KALTENKIRCHEN
WINDISCH-ESCHENBACH,WINDISCHESCHENBACH,NA,NA,WINDISCHESCHENBACH
RECKLIGHAUSEN,RECKLINGHAUSEN,RECKLINGHAUSEN,RECKLINGHAUSEN,RECKLINGHAUSEN
KOLPIN,COLPIN,NA,NA,COLPIN
KIEN HOA,NA,BIEN HOA,BIEN HOA,
STEINSDORF,STEINDORF,NA,NA,STEINDORF
GALLINGEN,GABLINGEN,NA,NA,GABLINGEN
IBBENBUHREN,IBBENBUREN,NA,NA,IBBENBUREN
HERSCHWEILER/PETTERSHEIM,HERSCHWEILER-PETTERSHEIM,NA,NA,HERSCHWEILER-PETTERSHEIM
ELBERGEN,NA,EIBERGEN,EIBERGEN,EIBERGEN
SOMBOR,NA,ZOMBOR,NA,
ROSENFELDE,ROSENFELD,NA,NA,ROSENFELD
NEINSTEDT,DEINSTEDT,NA,NA,
GROSSKORIS,GROSS KORIS,NA,NA,GROSS KORIS
KUNITZ,NA,KONITZ,NA,
HENNINGSDORF,HENNIGSDORF,NA,HENNIGSDORF,HENNIGSDORF
WEICHA,WEICHS,NA,NA,
BANJA LUKA,NA,BANJA LUCA,NA,BANJA LUCA
CSTROP-RAUXEL,CASTROP-RAUXEL,CASTROP-RAUXEL,CASTROP-RAUXEL,CASTROP-RAUXEL
BOTTROO,BOTTROP,NA,BOTTROP,BOTTROP
KARSCHAU,NA,WARSCHAU,NA,
DOBRI DOL,NA,DOBRI DO,NA,
HARTENBERG,WARTENBERG,NA,NA,
CANITZ,SANITZ,NA,NA,
ROSSLAU,ROSLAU,NA,NA,
BERANE,NA,BERKANE,BERKANE,BERKANE
EBINGEN,BINGEN,NA,EHINGEN,
BIRTEN,HIRTEN,NA,NA,
KROPSTADT,NA,KRONSTADT,KRONSTADT,
HALLDORF,DALLDORF,NA,NA,
KAHLBERG,KOHLBERG,NA,NA,
BELZIG,NA,BELZI,NA,
RHADEN,RAHDEN,NA,RAHDEN,
FLEMING,FLAMING,NA,NA,
